"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2019","8,031.71","7,819.43","8,088.88","7,812.61","3.34B","3.01%"
"Jun 09, 2019","7,796.66","7,798.87","7,909.99","7,773.97","2.46B","0.70%"
"Jun 02, 2019","7,742.10","7,441.22","7,767.02","7,292.22","2.87B","3.88%"
"May 26, 2019","7,453.15","7,655.66","7,693.74","7,448.23","2.41B","-2.41%"
"May 19, 2019","7,637.01","7,714.06","7,804.44","7,585.32","2.54B","-2.29%"
"May 12, 2019","7,816.28","7,720.07","7,946.23","7,627.23","2.79B","-1.27%"
"May 05, 2019","7,916.94","7,981.85","8,135.54","7,759.34","2.90B","-3.03%"
"Apr 28, 2019","8,164.00","8,147.65","8,176.08","7,976.77","2.67B","0.22%"
"Apr 21, 2019","8,146.40","7,969.37","8,151.85","7,965.90","2.50B","1.85%"
"Apr 14, 2019","7,998.06","7,987.16","8,052.40","7,933.56","2.08B","0.17%"
"Apr 07, 2019","7,984.16","7,924.89","7,992.09","7,891.85","2.43B","0.57%"
"Mar 31, 2019","7,938.69","7,800.24","7,940.45","7,777.10","2.71B","2.71%"
"Mar 24, 2019","7,729.32","7,618.98","7,738.17","7,579.29","2.72B","1.13%"
"Mar 17, 2019","7,642.67","7,696.38","7,850.10","7,642.57","3.07B","-0.60%"
"Mar 10, 2019","7,688.53","7,442.56","7,714.96","7,442.40","3.74B","3.78%"
"Mar 03, 2019","7,408.14","7,636.62","7,643.66","7,332.92","2.90B","-2.46%"
"Feb 24, 2019","7,595.35","7,585.30","7,603.03","7,485.39","3.13B","0.90%"
"Feb 17, 2019","7,527.55","7,450.75","7,527.55","7,430.89","2.18B","0.74%"
"Feb 10, 2019","7,472.41","7,327.37","7,477.28","7,290.03","2.64B","2.39%"
"Feb 03, 2019","7,298.20","7,266.28","7,410.77","7,225.14","2.67B","0.47%"
"Jan 27, 2019","7,263.87","7,075.01","7,303.12","7,011.47","3.10B","1.38%"
"Jan 20, 2019","7,164.86","7,109.57","7,174.56","6,953.23","2.35B","0.11%"
"Jan 13, 2019","7,157.23","6,908.03","7,185.38","6,887.48","2.65B","2.66%"
"Jan 06, 2019","6,971.48","6,757.53","6,991.37","6,741.40","2.83B","3.45%"
"Dec 30, 2018","6,738.86","6,649.52","6,760.69","6,457.13","2.52B","2.34%"
"Dec 23, 2018","6,584.52","6,278.49","6,684.18","6,190.17","2.22B","3.97%"
"Dec 16, 2018","6,332.99","6,886.46","6,931.81","6,304.63","4.75B","-8.36%"
"Dec 09, 2018","6,910.66","6,959.63","7,197.29","6,878.98","2.81B","-0.84%"
"Dec 02, 2018","6,969.25","7,486.13","7,486.51","6,945.27","2.76B","-4.93%"
"Nov 25, 2018","7,330.54","7,026.50","7,332.79","7,003.12","2.98B","5.64%"
"Nov 18, 2018","6,938.98","7,217.24","7,224.12","6,830.76","2.05B","-4.26%"
"Nov 11, 2018","7,247.87","7,364.05","7,371.09","7,072.36","3.17B","-2.15%"
"Nov 04, 2018","7,406.90","7,344.08","7,572.93","7,255.88","2.97B","0.68%"
"Oct 28, 2018","7,356.99","7,272.42","7,466.53","6,922.83","3.53B","2.65%"
"Oct 21, 2018","7,167.21","7,486.74","7,520.53","7,057.00","3.34B","-3.78%"
"Oct 14, 2018","7,449.03","7,473.33","7,670.49","7,400.07","2.89B","-0.64%"
"Oct 07, 2018","7,496.89","7,747.10","7,799.75","7,274.04","3.29B","-3.74%"
"Sep 30, 2018","7,788.45","8,091.50","8,107.38","7,715.97","3.19B","-3.21%"
"Sep 23, 2018","8,046.35","7,939.38","8,071.56","7,912.47","2.74B","0.74%"
"Sep 16, 2018","7,986.95","7,992.21","8,057.26","7,890.07","3.73B","-0.29%"
"Sep 09, 2018","8,010.04","7,939.57","8,040.83","7,880.93","2.52B","1.36%"
"Sep 02, 2018","7,902.54","8,087.95","8,104.07","7,873.93","2.16B","-2.55%"
"Aug 26, 2018","8,109.54","7,989.64","8,133.30","7,976.60","2.32B","2.06%"
"Aug 19, 2018","7,945.98","7,834.37","7,949.71","7,787.90","2.09B","1.66%"
"Aug 12, 2018","7,816.33","7,848.00","7,888.66","7,732.69","2.37B","-0.29%"
"Aug 05, 2018","7,839.11","7,809.54","7,923.35","7,801.88","2.42B","0.35%"
"Jul 29, 2018","7,812.02","7,735.27","7,824.06","7,604.24","2.57B","0.96%"
"Jul 22, 2018","7,737.42","7,806.93","7,933.31","7,698.96","2.37B","-1.06%"
"Jul 15, 2018","7,820.20","7,831.74","7,867.15","7,749.60","2.17B","-0.07%"
"Jul 08, 2018","7,825.98","7,731.74","7,843.52","7,696.58","2.16B","1.79%"
"Jul 01, 2018","7,688.39","7,451.90","7,695.81","7,443.10","1.65B","2.37%"
"Jun 24, 2018","7,510.30","7,631.12","7,639.73","7,419.56","2.78B","-2.37%"
"Jun 17, 2018","7,692.82","7,692.96","7,806.60","7,635.73","3.83B","-0.69%"
"Jun 10, 2018","7,746.38","7,647.23","7,768.60","7,642.87","3.23B","1.32%"
"Jun 03, 2018","7,645.51","7,570.08","7,697.41","7,561.20","2.48B","1.21%"
"May 27, 2018","7,554.33","7,398.51","7,557.38","7,354.29","2.22B","1.62%"
"May 20, 2018","7,433.85","7,406.34","7,452.85","7,334.61","2.14B","1.08%"
"May 13, 2018","7,354.34","7,429.45","7,458.42","7,320.97","2.36B","-0.66%"
"May 06, 2018","7,402.88","7,241.82","7,417.67","7,224.70","2.46B","2.68%"
"Apr 29, 2018","7,209.62","7,133.95","7,228.26","6,991.14","2.49B","1.26%"
"Apr 22, 2018","7,119.80","7,173.99","7,197.15","6,926.98","2.35B","-0.37%"
"Apr 15, 2018","7,146.13","7,153.87","7,319.58","7,115.85","2.25B","0.56%"
"Apr 08, 2018","7,106.65","6,971.44","7,183.62","6,944.96","2.29B","2.77%"
"Apr 01, 2018","6,915.11","7,016.17","7,112.38","6,805.96","2.75B","-2.10%"
"Mar 25, 2018","7,063.44","7,125.20","7,255.54","6,901.07","2.42B","1.01%"
"Mar 18, 2018","6,992.67","7,419.20","7,421.23","6,992.67","2.67B","-6.54%"
"Mar 11, 2018","7,481.99","7,581.04","7,637.27","7,463.19","3.39B","-1.04%"
"Mar 04, 2018","7,560.81","7,222.89","7,560.81","7,205.31","2.69B","4.17%"
"Feb 25, 2018","7,257.87","7,373.30","7,438.09","7,084.83","2.74B","-1.08%"
"Feb 18, 2018","7,337.39","7,209.03","7,338.64","7,194.84","1.88B","1.35%"
"Feb 11, 2018","7,239.47","6,936.68","7,303.26","6,879.69","2.59B","5.31%"
"Feb 04, 2018","6,874.49","7,165.96","7,277.36","6,630.67","3.60B","-5.06%"
"Jan 28, 2018","7,240.95","7,484.47","7,500.61","7,238.18","2.76B","-3.53%"
"Jan 21, 2018","7,505.77","7,338.04","7,505.77","7,332.81","2.44B","2.31%"
"Jan 14, 2018","7,336.38","7,307.19","7,336.38","7,205.93","2.07B","1.04%"
"Jan 07, 2018","7,261.06","7,135.38","7,265.26","7,111.52","2.37B","1.74%"
"Dec 31, 2017","7,136.56","6,937.65","7,137.04","6,924.08","1.92B","3.38%"
"Dec 24, 2017","6,903.39","6,928.92","6,955.38","6,903.39","1.35B","-0.81%"
"Dec 17, 2017","6,959.96","6,980.40","7,003.89","6,935.42","2.31B","0.34%"
"Dec 10, 2017","6,936.58","6,847.64","6,945.82","6,844.88","3.32B","1.41%"
"Dec 03, 2017","6,840.08","6,897.14","6,899.23","6,734.13","2.48B","-0.11%"
"Nov 26, 2017","6,847.59","6,889.91","6,914.19","6,737.16","2.79B","-0.60%"
"Nov 19, 2017","6,889.16","6,789.28","6,890.02","6,779.48","1.51B","1.57%"
"Nov 12, 2017","6,782.79","6,727.39","6,806.67","6,667.31","2.35B","0.47%"
"Nov 05, 2017","6,750.94","6,763.30","6,795.52","6,687.28","2.55B","-0.20%"
"Oct 29, 2017","6,764.44","6,693.77","6,765.14","6,677.15","2.53B","0.94%"
"Oct 22, 2017","6,701.26","6,641.57","6,708.13","6,517.93","2.40B","1.09%"
"Oct 15, 2017","6,629.05","6,622.55","6,640.02","6,558.53","2.02B","0.35%"
"Oct 08, 2017","6,605.80","6,597.37","6,616.58","6,561.78","2.08B","0.24%"
"Oct 01, 2017","6,590.18","6,506.08","6,590.18","6,484.14","2.15B","1.45%"
"Sep 24, 2017","6,495.96","6,403.11","6,497.98","6,343.96","2.32B","1.07%"
"Sep 17, 2017","6,426.92","6,460.10","6,477.77","6,400.81","2.14B","-0.33%"
"Sep 10, 2017","6,448.47","6,411.18","6,464.27","6,410.71","2.91B","1.39%"
"Sep 03, 2017","6,360.19","6,414.82","6,426.51","6,334.59","1.70B","-1.17%"
"Aug 27, 2017","6,435.33","6,286.01","6,449.65","6,228.73","1.97B","2.71%"
"Aug 20, 2017","6,265.64","6,216.32","6,308.72","6,177.19","1.80B","0.79%"
"Aug 13, 2017","6,216.53","6,306.11","6,374.56","6,193.38","2.08B","-0.64%"
"Aug 06, 2017","6,256.56","6,361.06","6,423.35","6,214.41","2.24B","-1.50%"
"Jul 30, 2017","6,351.56","6,394.69","6,396.59","6,313.43","2.32B","-0.36%"
"Jul 23, 2017","6,374.68","6,387.82","6,460.84","6,318.62","2.33B","-0.20%"
"Jul 16, 2017","6,387.75","6,320.35","6,398.26","6,291.07","2.06B","1.19%"
"Jul 09, 2017","6,312.47","6,156.03","6,321.76","6,141.83","2.05B","2.59%"
"Jul 02, 2017","6,153.08","6,173.29","6,177.36","6,081.96","1.65B","0.21%"
"Jun 25, 2017","6,140.42","6,292.73","6,303.44","6,087.81","2.44B","-1.99%"
"Jun 18, 2017","6,265.25","6,196.85","6,269.37","6,186.94","3.35B","1.84%"
"Jun 11, 2017","6,151.76","6,153.56","6,237.53","6,107.85","3.33B","-0.90%"
"Jun 04, 2017","6,207.92","6,305.47","6,341.70","6,137.68","2.42B","-1.55%"
"May 28, 2017","6,305.80","6,204.18","6,308.76","6,164.07","2.06B","1.54%"
"May 21, 2017","6,210.19","6,098.25","6,217.34","6,097.24","2.02B","2.08%"
"May 14, 2017","6,083.70","6,128.11","6,170.16","5,996.81","2.51B","-0.61%"
"May 07, 2017","6,121.23","6,100.66","6,133.00","6,075.68","2.27B","0.34%"
"Apr 30, 2017","6,100.76","6,067.56","6,102.72","6,053.28","2.34B","0.88%"
"Apr 23, 2017","6,047.61","5,979.96","6,074.04","5,970.25","2.33B","2.32%"
"Apr 16, 2017","5,910.52","5,821.55","5,926.23","5,818.20","2.03B","1.82%"
"Apr 09, 2017","5,805.15","5,883.43","5,907.85","5,805.15","1.63B","-1.24%"
"Apr 02, 2017","5,877.81","5,917.31","5,936.39","5,855.51","2.32B","-0.57%"
"Mar 26, 2017","5,911.74","5,776.33","5,927.81","5,769.39","2.17B","1.42%"
"Mar 19, 2017","5,828.74","5,898.81","5,928.06","5,781.81","2.25B","-1.22%"
"Mar 12, 2017","5,901.00","5,863.48","5,912.61","5,831.88","3.02B","0.67%"
"Mar 05, 2017","5,861.73","5,846.42","5,872.60","5,812.08","2.15B","-0.15%"
"Feb 26, 2017","5,870.75","5,835.04","5,911.79","5,817.22","2.47B","0.44%"
"Feb 19, 2017","5,845.31","5,850.20","5,867.89","5,800.55","1.74B","0.12%"
"Feb 12, 2017","5,838.58","5,753.19","5,838.58","5,748.74","2.23B","1.82%"
"Feb 05, 2017","5,734.13","5,656.95","5,743.43","5,649.39","2.14B","1.19%"
"Jan 29, 2017","5,666.77","5,635.86","5,666.84","5,576.09","2.31B","0.11%"
"Jan 22, 2017","5,660.78","5,546.64","5,669.61","5,522.69","2.05B","1.90%"
"Jan 15, 2017","5,555.33","5,555.16","5,574.35","5,527.22","1.64B","-0.34%"
"Jan 08, 2017","5,574.12","5,527.57","5,584.26","5,496.82","2.05B","0.96%"
"Jan 01, 2017","5,521.06","5,425.62","5,536.52","5,397.99","1.71B","2.56%"
"Dec 25, 2016","5,383.12","5,470.76","5,512.37","5,371.89","1.25B","-1.46%"
"Dec 18, 2016","5,462.69","5,441.20","5,489.47","5,432.77","1.76B","0.47%"
"Dec 11, 2016","5,437.16","5,428.22","5,486.75","5,394.42","3.06B","-0.13%"
"Dec 04, 2016","5,444.50","5,283.58","5,450.16","5,269.57","2.29B","3.59%"
"Nov 27, 2016","5,255.65","5,387.92","5,403.86","5,238.21","2.37B","-2.65%"
"Nov 20, 2016","5,398.92","5,336.78","5,398.92","5,334.16","1.43B","1.45%"
"Nov 13, 2016","5,321.51","5,246.33","5,346.80","5,192.05","2.44B","1.61%"
"Nov 06, 2016","5,237.11","5,128.99","5,302.68","5,122.77","2.78B","3.78%"
"Oct 30, 2016","5,046.37","5,205.09","5,206.70","5,034.41","2.28B","-2.77%"
"Oct 23, 2016","5,190.10","5,290.31","5,311.50","5,178.76","1.93B","-1.28%"
"Oct 16, 2016","5,257.40","5,213.69","5,264.27","5,196.03","1.78B","0.83%"
"Oct 09, 2016","5,214.16","5,318.46","5,340.52","5,169.76","1.83B","-1.48%"
"Oct 02, 2016","5,292.40","5,300.29","5,330.81","5,266.80","2.00B","-0.37%"
"Sep 25, 2016","5,312.00","5,275.73","5,325.88","5,251.32","2.16B","0.12%"
"Sep 18, 2016","5,305.75","5,263.55","5,342.88","5,222.91","2.05B","1.17%"
"Sep 11, 2016","5,244.57","5,098.03","5,254.78","5,097.80","2.89B","2.31%"
"Sep 04, 2016","5,125.91","5,259.99","5,287.61","5,125.91","1.80B","-2.36%"
"Aug 28, 2016","5,249.90","5,223.80","5,263.39","5,189.36","1.91B","0.59%"
"Aug 21, 2016","5,218.92","5,231.46","5,275.74","5,191.86","1.78B","-0.37%"
"Aug 14, 2016","5,238.38","5,242.18","5,271.36","5,197.23","1.88B","0.10%"
"Aug 07, 2016","5,232.90","5,223.54","5,238.54","5,193.80","1.79B","0.23%"
"Jul 31, 2016","5,221.12","5,167.42","5,227.23","5,109.80","2.15B","1.14%"
"Jul 24, 2016","5,162.13","5,096.99","5,175.81","5,082.66","2.27B","1.22%"
"Jul 17, 2016","5,100.16","5,034.99","5,103.52","5,028.24","1.81B","1.40%"
"Jul 10, 2016","5,029.59","4,976.54","5,045.18","4,976.54","1.92B","1.47%"
"Jul 03, 2016","4,956.76","4,837.06","4,959.00","4,786.01","1.63B","1.94%"
"Jun 26, 2016","4,862.57","4,664.43","4,880.17","4,574.25","2.51B","3.28%"
"Jun 19, 2016","4,707.98","4,856.69","4,910.04","4,698.42","3.10B","-1.92%"
"Jun 12, 2016","4,800.34","4,868.51","4,894.85","4,778.78","2.63B","-1.92%"
"Jun 05, 2016","4,894.55","4,950.46","4,980.14","4,880.61","1.91B","-0.97%"
"May 29, 2016","4,942.52","4,938.48","4,971.36","4,909.21","1.90B","0.18%"